n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
2,80,0.007937,100,,,,,
2,80,0.008772,101,,,,,
2,80,0.009607,100,,,,,
2,80,0.010443,100,,,,,
2,80,0.011278,101,,,,,
2,80,0.012114,103,3.0,3.0,0.095648,0.095648,2.6912960000000004
2,80,0.012949,107,3.0,3.0,0.055943,0.055943,2.611886
2,80,0.013784,112,3.0,3.0,0.069878,0.078807,2.648685
2,80,0.01462,131,2.677808,2.776465,0.017267,0.013714,1.985254
2,80,0.015455,189,2.912915,2.524365,0.02469,0.046923,2.008893
2,80,0.016291,526,1.433334,1.552773,0.031857,0.024871,0.5706209999999999
2,80,0.017126,205,2.087307,2.617529,0.044375,0.054836,1.3040470000000004
2,80,0.017962,131,2.443799,2.800342,0.053635,0.030968,1.8287440000000001
2,80,0.018797,100,3.0,,0.014104,,
2,80,0.019632,69,3.0,,0.00836,,
2,80,0.020468,52,,,,,
2,80,0.021303,52,,,,,
2,80,0.022139,38,,,,,
2,80,0.022974,32,,,,,
2,80,0.02381,32,,,,,
4,80,0.007937,100,,,,,
4,80,0.008772,100,,,,,
4,80,0.009607,100,,,,,
4,80,0.010443,100,,,,,
4,80,0.011278,101,,,,,
4,80,0.012114,102,3.0,,0.060249,,
4,80,0.012949,101,3.0,,0.049281,,
4,80,0.013784,126,2.954883,3.0,0.016073,0.022384,2.4933400000000003
4,80,0.01462,132,2.913281,2.992236,0.039247,0.04296,2.487724
4,80,0.015455,161,2.392163,2.514624,0.028466,0.016208,1.4514610000000001
4,80,0.016291,421,1.489105,1.62933,0.016534,0.019167,0.41726600000000014
