vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
15,256,64,0.0112782,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
15,256,64,0.01211362,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.011454778490588069,0.00020500580493739633
15,256,64,0.01294904,0.005000000074505806,0.015000000223517416,0.0010089700343087315,2.990998327732086e-05,0.01150180995464325,0.0002821890637278557
15,256,64,0.01378446,0.020833333767950536,0.03410563722455824,0.0010438550380058587,7.375031690100245e-05,0.011827249266207217,0.0006882336536532969
15,256,64,0.01461988,0.012500000186264515,0.021650635417230567,0.001023925025947392,4.317134224154601e-05,0.011642904533073307,0.00040730491041905833
15,256,64,0.0154553,0.03166666738688946,0.03796928662769911,0.0010687700239941477,8.397785450658867e-05,0.012058625603094697,0.0007811638999404327
15,256,64,0.01629073,0.043666666373610497,0.04493390116891852,0.001182845002040267,0.0002721370596375096,0.012887549865990878,0.001929056069139886
15,256,64,0.01712615,0.09515476394444704,0.07067592763183556,0.0013670400192495435,0.0003160608258214805,0.0145028134342283,0.0026615455594708546
15,256,64,0.01796157,0.13361526001244783,0.12260887241006195,0.007756520016118884,0.016497955662082765,0.033474848885089156,0.03709482009930012
15,256,64,0.01879699,0.15665979497134686,0.09597029357688748,0.034956337773473935,0.03451632616653273,0.10685283378697932,0.08113397110240063
15,256,64,0.01963241,0.2498260334134102,0.12839519203340383,0.1625957301002927,0.1055230393818776,0.4003988883458078,0.2147524480864039
15,256,64,0.02046784,0.38754924312233924,0.159598321100156,0.2676908694207668,0.1260940903745598,0.6514584437012673,0.2713625400267451
15,256,64,0.02130326,0.34000812135636804,0.15619493051600478,0.23645230066613293,0.12542408604665262,0.5879498280119151,0.2778093398090421
15,256,64,0.02213868,0.33008312694728376,0.12695067390853437,0.2306072164326906,0.09568486853407619,0.5712657794356346,0.20952436872442923
15,256,64,0.0229741,0.35506885722279546,0.14658672931491015,0.25109542552381753,0.11960898647726767,0.617854493111372,0.26456589083139703
15,256,64,0.02380952,0.37007919028401376,0.1417607663887737,0.23207296952605247,0.1005564120137482,0.6101602092385292,0.2312447246062127
15,256,64,0.02464495,0.41515686810016633,0.2081154168297153,0.2786732791049872,0.17009230060357425,0.6928305945824832,0.36335041091178194
15,256,64,0.02548037,0.40012537203729154,0.1483477028856884,0.2747152719646692,0.11929889372224073,0.6714691579341888,0.2553525041551986
15,256,64,0.02631579,0.4302001617848873,0.14535111718840432,0.272485962882638,0.0938277577645038,0.6924636781215667,0.22394503596005058
15,256,64,0.02715121,0.38510450795292855,0.13523023735728454,0.21021789647638797,0.09386611880624203,0.5787257850170135,0.20771142364430176
15,256,64,0.02798663,0.40018334835767744,0.14498140742845914,0.23061987459659578,0.0813923776434836,0.6144202023744583,0.19986829706451947
20,256,64,0.00793651,0.002500000037252903,0.010897247521233321,0.0010039850429166108,2.1729124456936684e-05,0.01145477844402194,0.000205005601960347
20,256,64,0.00877193,0.005000000074505806,0.01500000022351742,0.0010089700343087315,2.9909983277320864e-05,0.011501810001209378,0.00028218920342628023
20,256,64,0.00960735,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
20,256,64,0.01044277,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.011454778490588069,0.00020500580493739633
20,256,64,0.0112782,0.005000000074505806,0.01500000022351742,0.0010089700401294977,2.9910000739624802e-05,0.011501810001209378,0.0002821892034262803
20,256,64,0.01211362,0.007500000111758709,0.023848480390793684,0.0010139550373423844,4.755386518000792e-05,0.01154884141869843,0.00044865183622135664
20,256,64,0.01294904,0.007500000111758709,0.017853571337396065,0.0010139550315216184,3.560000081231674e-05,0.011548841558396816,0.00033587238868749313
20,256,64,0.01378446,0.015000000223517418,0.022912878816207696,0.0010289100231602789,4.56882541343954e-05,0.011689936043694615,0.0004310509860715172
